sample_id	fastq1_file	fastq2_file
SAMEA3234618	ERR1775541/ERR1775541_1.fastq.gz	ERR1775541/ERR1775541_2.fastq.gz
SAMEA3234618	ERR1775542/ERR1775542_1.fastq.gz	ERR1775542/ERR1775542_2.fastq.gz
SAMEA3234618	ERR1775543/ERR1775543_1.fastq.gz	ERR1775543/ERR1775543_2.fastq.gz
SAMEA3234618	ERR1775544/ERR1775544_1.fastq.gz	ERR1775544/ERR1775544_2.fastq.gz
SAMEA3476922	ERR1775545/ERR1775545_1.fastq.gz	ERR1775545/ERR1775545_2.fastq.gz
SAMEA3476922	ERR1775551/ERR1775551_1.fastq.gz	ERR1775551/ERR1775551_2.fastq.gz
SAMEA3476924	ERR1775546/ERR1775546_1.fastq.gz	ERR1775546/ERR1775546_2.fastq.gz
SAMEA3476924	ERR1775552/ERR1775552_1.fastq.gz	ERR1775552/ERR1775552_2.fastq.gz
SAMEA3476935	ERR1775547/ERR1775547_1.fastq.gz	ERR1775547/ERR1775547_2.fastq.gz
SAMEA3476935	ERR1775553/ERR1775553_1.fastq.gz	ERR1775553/ERR1775553_2.fastq.gz
SAMEA3476942	ERR1775548/ERR1775548_1.fastq.gz	ERR1775548/ERR1775548_2.fastq.gz
SAMEA3476942	ERR1775554/ERR1775554_1.fastq.gz	ERR1775554/ERR1775554_2.fastq.gz
SAMEA3476945	ERR1775549/ERR1775549_1.fastq.gz	ERR1775549/ERR1775549_2.fastq.gz
SAMEA3476945	ERR1775555/ERR1775555_1.fastq.gz	ERR1775555/ERR1775555_2.fastq.gz
SAMEA3476950	ERR1775550/ERR1775550_1.fastq.gz	ERR1775550/ERR1775550_2.fastq.gz
SAMEA3476950	ERR1775556/ERR1775556_1.fastq.gz	ERR1775556/ERR1775556_2.fastq.gz
SAMEA3476967	ERR1775557/ERR1775557_1.fastq.gz	ERR1775557/ERR1775557_2.fastq.gz
SAMEA3476967	ERR1775562/ERR1775562_1.fastq.gz	ERR1775562/ERR1775562_2.fastq.gz
SAMEA3476969	ERR1775558/ERR1775558_1.fastq.gz	ERR1775558/ERR1775558_2.fastq.gz
SAMEA3476969	ERR1775563/ERR1775563_1.fastq.gz	ERR1775563/ERR1775563_2.fastq.gz
SAMEA3476974	ERR1775559/ERR1775559_1.fastq.gz	ERR1775559/ERR1775559_2.fastq.gz
SAMEA3476974	ERR1775564/ERR1775564_1.fastq.gz	ERR1775564/ERR1775564_2.fastq.gz
SAMEA3476976	ERR1775560/ERR1775560_1.fastq.gz	ERR1775560/ERR1775560_2.fastq.gz
SAMEA3476976	ERR1775565/ERR1775565_1.fastq.gz	ERR1775565/ERR1775565_2.fastq.gz
SAMEA3476984	ERR1775561/ERR1775561_1.fastq.gz	ERR1775561/ERR1775561_2.fastq.gz
SAMEA3476984	ERR1775566/ERR1775566_1.fastq.gz	ERR1775566/ERR1775566_2.fastq.gz
SAMEA3717998	ERR1775645/ERR1775645_1.fastq.gz	ERR1775645/ERR1775645_2.fastq.gz
SAMEA3717998	ERR1775658/ERR1775658_1.fastq.gz	ERR1775658/ERR1775658_2.fastq.gz
SAMEA3717998	ERR1775671/ERR1775671_1.fastq.gz	ERR1775671/ERR1775671_2.fastq.gz
SAMEA3717998	ERR1775684/ERR1775684_1.fastq.gz	ERR1775684/ERR1775684_2.fastq.gz
SAMEA3718000	ERR1775646/ERR1775646_1.fastq.gz	ERR1775646/ERR1775646_2.fastq.gz
SAMEA3718000	ERR1775659/ERR1775659_1.fastq.gz	ERR1775659/ERR1775659_2.fastq.gz
SAMEA3718000	ERR1775672/ERR1775672_1.fastq.gz	ERR1775672/ERR1775672_2.fastq.gz
SAMEA3718000	ERR1775685/ERR1775685_1.fastq.gz	ERR1775685/ERR1775685_2.fastq.gz
SAMEA3718001	ERR1775647/ERR1775647_1.fastq.gz	ERR1775647/ERR1775647_2.fastq.gz
SAMEA3718001	ERR1775660/ERR1775660_1.fastq.gz	ERR1775660/ERR1775660_2.fastq.gz
SAMEA3718001	ERR1775673/ERR1775673_1.fastq.gz	ERR1775673/ERR1775673_2.fastq.gz
SAMEA3718001	ERR1775686/ERR1775686_1.fastq.gz	ERR1775686/ERR1775686_2.fastq.gz
SAMEA3718002	ERR1775648/ERR1775648_1.fastq.gz	ERR1775648/ERR1775648_2.fastq.gz
SAMEA3718002	ERR1775661/ERR1775661_1.fastq.gz	ERR1775661/ERR1775661_2.fastq.gz
SAMEA3718002	ERR1775674/ERR1775674_1.fastq.gz	ERR1775674/ERR1775674_2.fastq.gz
SAMEA3718002	ERR1775687/ERR1775687_1.fastq.gz	ERR1775687/ERR1775687_2.fastq.gz
